listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier,market_segment,actual_price_usd,predicted_fair_price_usd,predicted_price_q10,predicted_price_q90,interval_width_pct,direction_confidence,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal
136493,Historical space with exceptional light & art,https://www.airbnb.com/rooms/136493,Brooklyn,Park Slope,Private room,Private room in townhouse,Individual,short_stay,432.0,653.32,295.06,877.68,0.8894,Uncertain (within plausible range),39.6,Medium,-221.32,-0.3388,Below model benchmark (review price)
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",https://www.airbnb.com/rooms/12937,Queens,Long Island City,Private room,Private room in townhouse,Individual,short_stay,359.67,232.34,157.23,308.35,0.6649,Confident: lower price,80.5,Medium,127.33,0.5481,Above model benchmark (review price)
16580,"Sunny, Modern room in East Village w City Views",https://www.airbnb.com/rooms/16580,Manhattan,East Village,Private room,Private room in condo,Small-Multi,short_stay,194.0,189.83,138.51,267.02,0.6951,Uncertain (within plausible range),76.0,Medium,4.17,0.0219,Within 10% of model benchmark
16821,Charming Room in Amazing East Village Apt. (B),https://www.airbnb.com/rooms/16821,Manhattan,East Village,Private room,Private room in rental unit,Small-Multi,short_stay,214.54,210.79,154.61,304.67,0.7279,Uncertain (within plausible range),69.6,Medium,3.75,0.0178,Within 10% of model benchmark
279857,"Gordy’s Place for Large Groups 8Rms, 5Bth, 24+beds",https://www.airbnb.com/rooms/279857,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire home,Individual,short_stay,2593.0,1020.87,466.27,1451.19,0.9443,Confident: lower price,31.4,Medium,1572.13,1.54,Above model benchmark (review price)
150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,https://www.airbnb.com/rooms/150804,Manhattan,Lower East Side,Private room,Private room in rental unit,Individual,short_stay,533.5,448.57,292.87,971.58,1.4478,Uncertain (within plausible range),1.6,Low,84.93,0.1893,Above model benchmark (review price)
151199,Astoria/LIC  Private Home located near train,https://www.airbnb.com/rooms/151199,Queens,Astoria,Entire home/apt,Entire home,Individual,short_stay,342.5,321.39,211.41,451.64,0.7346,Uncertain (within plausible range),68.4,Medium,21.11,0.0657,Within 10% of model benchmark
152263,Cozy private room and bathroom in a Brownstone,https://www.airbnb.com/rooms/152263,Manhattan,Harlem,Private room,Private room in guest suite,Small-Multi,short_stay,320.0,239.38,181.11,348.11,0.7145,Uncertain (within plausible range),72.5,Medium,80.62,0.3368,Above model benchmark (review price)
294242,Loft Suite,https://www.airbnb.com/rooms/294242,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,752.04,553.51,315.86,733.54,0.8341,Confident: lower price,50.1,Medium,198.53,0.3587,Above model benchmark (review price)
294259,Loft Suite,https://www.airbnb.com/rooms/294259,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,752.04,504.95,322.72,649.47,0.751,Confident: lower price,65.5,Medium,247.09,0.4893,Above model benchmark (review price)
