listing_id,host_tier_x,market_segment_x,cohort_key,match_method,n_peers,n_high_performers,peer_support_score,my_occupancy_days,peer_high_occupancy_days,occupancy_gap_days,missing_amenities_vs_peers,n_missing_amenities,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier_y,market_segment_y,actual_price_usd,predicted_fair_price_usd,prediction_sd_usd,prediction_uncertainty_pct,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal,overall_recommendation_confidence
2539,Small-Multi,monthly,Brooklyn | Private room | small | monthly | Small-Multi,host_tier_exact_cohort,281,94,100.0,60.0,209.3,149.3,wifi,1,11 Min to Manhattan • Prospect Park • Fast WiFi,https://www.airbnb.com/rooms/2539,Brooklyn,Kensington,Private room,Private room in condo,Small-Multi,monthly,113.97,82.93,20.68,0.2493,24.7,Low,31.04,0.3743,Above model benchmark (review price),51.1
6848,Individual,monthly,Brooklyn | Entire home/apt | medium | monthly | Individual,host_tier_exact_cohort,278,124,100.0,180.0,216.7,36.7,dedicated_workspace; self_check_in,2,Only 2 stops to Manhattan studio,https://www.airbnb.com/rooms/6848,Brooklyn,Williamsburg,Entire home/apt,Entire rental unit,Individual,monthly,117.27,203.85,45.33,0.2223,80.1,High,-86.58,-0.4247,Below model benchmark (review price),87.1
6872,Small-Multi,monthly,Manhattan | Private room | small | monthly | Small-Multi,host_tier_exact_cohort,175,60,100.0,60.0,213.3,153.4,bed_linens; hair_dryer; iron; dishes_and_silverware; microwave; refrigerator; cooking_basics; air_conditioning; shampoo,9,Uptown Sanctuary w/ Private Bath (Month to Month),https://www.airbnb.com/rooms/6872,Manhattan,East Harlem,Private room,Private room in condo,Small-Multi,monthly,80.06,64.65,15.22,0.2354,34.7,Low,15.41,0.2383,Above model benchmark (review price),57.6
6990,Individual,monthly,Manhattan | Private room | small | monthly | Individual,host_tier_exact_cohort,128,57,100.0,120.0,217.1,97.1,essentials; dishes_and_silverware; microwave; cooking_basics,4,UES Beautiful Blue Room,https://www.airbnb.com/rooms/6990,Manhattan,East Harlem,Private room,Private room in rental unit,Individual,monthly,77.17,86.44,19.53,0.2259,60.3,Medium,-9.27,-0.1072,Below model benchmark (review price),74.2
7097,Small-Multi,monthly,Brooklyn | Private room | small | monthly | Small-Multi,host_tier_exact_cohort,281,93,100.0,255.0,208.8,-46.2,(none),0,"Perfect for Your Parents, With Garden & Patio",https://www.airbnb.com/rooms/7097,Brooklyn,Fort Greene,Private room,Private room in guest suite,Small-Multi,monthly,202.47,131.13,32.52,0.248,25.3,Low,71.34,0.5441,Above model benchmark (review price),51.4
7801,Individual,monthly,Brooklyn | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,298,130,100.0,60.0,222.7,162.7,wifi,1,Sunny Williamsburg Loft with Private Cedar Sauna,https://www.airbnb.com/rooms/7801,Brooklyn,Williamsburg,Entire home/apt,Entire place,Individual,monthly,365.97,214.8,52.89,0.2462,26.1,Low,151.17,0.7038,Above model benchmark (review price),52.0
266449,Individual,monthly,Manhattan | Entire home/apt | medium | monthly | Individual,host_tier_exact_cohort,153,62,100.0,255.0,220.6,-34.4,dedicated_workspace,1,2 Bedroom Gem - Prime LES Location,https://www.airbnb.com/rooms/266449,Manhattan,Lower East Side,Entire home/apt,Entire rental unit,Individual,monthly,159.77,227.11,51.51,0.2268,57.0,Medium,-67.34,-0.2965,Below model benchmark (review price),72.1
267376,Individual,monthly,Manhattan | Private room | small | monthly | Individual,host_tier_exact_cohort,128,56,100.0,180.0,217.8,37.8,(none),0,Room in a New York loft,https://www.airbnb.com/rooms/267376,Manhattan,Financial District,Private room,Private room in loft,Individual,monthly,87.77,159.24,40.55,0.2547,22.7,Low,-71.47,-0.4488,Below model benchmark (review price),49.8
267652,Individual,monthly,Brooklyn | Private room | small | monthly | Individual,host_tier_exact_cohort,144,55,100.0,240.0,215.4,-24.6,wifi; kitchen; refrigerator; cooking_basics,4,Private clean spacious room - Across from subway,https://www.airbnb.com/rooms/267652,Brooklyn,Flatbush,Private room,Private room in rental unit,Individual,monthly,72.0,59.55,13.67,0.2296,46.6,Low,12.45,0.2092,Above model benchmark (review price),65.3
115748,Individual,monthly,Queens | Entire home/apt | small | monthly | Individual,host_tier_exact_cohort,88,34,100.0,120.0,222.1,102.1,wifi; hangers; bed_linens; microwave; dedicated_workspace; self_check_in,6,1 BDRM Apt-Weekends and short stays available,https://www.airbnb.com/rooms/115748,Queens,Astoria,Entire home/apt,Entire rental unit,Individual,monthly,118.07,150.56,33.97,0.2256,61.5,Medium,-32.49,-0.2158,Below model benchmark (review price),75.0
