borough,neighborhood,listing_count,month,real_avg_occupancy_rate,neighborhood_seasonality_amplitude_weight,SIMULATED_price_seasonal_index,data_type
Bronx,Allerton,17,Jan,0.0588,0.6913,0.8158,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Feb,0.0588,0.6913,0.8024,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Mar,0.2808,0.6913,0.9242,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Apr,0.4706,0.6913,0.9957,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,May,0.4706,0.6913,1.0593,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Jun,0.6627,0.6913,1.0351,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Jul,0.7628,0.6913,0.9382,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Aug,0.4497,0.6913,0.9169,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Sep,0.3412,0.6913,1.1732,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Oct,0.2846,0.6913,1.129,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Nov,0.1431,0.6913,1.0745,SIMULATED_PROOF_OF_CONCEPT
Bronx,Allerton,17,Dec,0.1423,0.6913,1.1357,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Jan,0.0,0.7855,0.7907,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Feb,0.0,0.7855,0.7755,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Mar,0.4409,0.7855,0.9139,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Apr,0.6667,0.7855,0.9951,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,May,0.6667,0.7855,1.0674,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Jun,0.7111,0.7855,1.0399,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Jul,0.7419,0.7855,0.9297,SIMULATED_PROOF_OF_CONCEPT
Bronx,Baychester,3,Aug,0.3226,0.7855,0.9056,SIMULATED_PROOF_OF_CONCEPT
