id,listing_url,borough,neighborhood,room_type,property_type,nightly_price
856524140333584118,https://www.airbnb.com/rooms/856524140333584118,Brooklyn,Williamsburg,Entire home/apt,Entire rental unit,156.16
1468389416630258313,https://www.airbnb.com/rooms/1468389416630258313,Brooklyn,DUMBO,Entire home/apt,Entire rental unit,700.0
44211352,https://www.airbnb.com/rooms/44211352,Manhattan,Washington Heights,Entire home/apt,Entire rental unit,201.8
1263836565731458704,https://www.airbnb.com/rooms/1263836565731458704,Manhattan,Harlem,Entire home/apt,Entire rental unit,284.17
1499719494093367309,https://www.airbnb.com/rooms/1499719494093367309,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,61.23
705424352499354914,https://www.airbnb.com/rooms/705424352499354914,Brooklyn,Cypress Hills,Private room,Private room in rental unit,75.6
942015991579055232,https://www.airbnb.com/rooms/942015991579055232,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,86.07
1111072216805246742,https://www.airbnb.com/rooms/1111072216805246742,Manhattan,Upper West Side,Private room,Room in hotel,585.78
225976,https://www.airbnb.com/rooms/225976,Staten Island,Shore Acres,Entire home/apt,Entire rental unit,71.49
1061633200531291580,https://www.airbnb.com/rooms/1061633200531291580,Queens,Flushing,Private room,Room in hotel,132.31
1032533524834002025,https://www.airbnb.com/rooms/1032533524834002025,Brooklyn,Bushwick,Private room,Private room in townhouse,190.33
6018589,https://www.airbnb.com/rooms/6018589,Manhattan,Washington Heights,Private room,Private room in rental unit,55.77
1661057380293580112,https://www.airbnb.com/rooms/1661057380293580112,Queens,Corona,Entire home/apt,Entire rental unit,263.0
1237717109925539462,https://www.airbnb.com/rooms/1237717109925539462,Manhattan,Chinatown,Private room,Room in hotel,340.0
748118,https://www.airbnb.com/rooms/748118,Brooklyn,Greenpoint,Private room,Private room in condo,418.67
1240907389087561186,https://www.airbnb.com/rooms/1240907389087561186,Queens,Springfield Gardens,Private room,Private room in home,166.0
51796945,https://www.airbnb.com/rooms/51796945,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,172.45
46669233,https://www.airbnb.com/rooms/46669233,Manhattan,West Village,Entire home/apt,Entire rental unit,120.95
671900378304577311,https://www.airbnb.com/rooms/671900378304577311,Brooklyn,Fort Hamilton,Private room,Private room in guesthouse,62.01
1132595760648458557,https://www.airbnb.com/rooms/1132595760648458557,Manhattan,Midtown,Private room,Room in hotel,341.0
19710276,https://www.airbnb.com/rooms/19710276,Queens,Rockaway Beach,Entire home/apt,Entire home,180.12
629738067148149172,https://www.airbnb.com/rooms/629738067148149172,Manhattan,Harlem,Entire home/apt,Entire condo,242.25
752124417745502491,https://www.airbnb.com/rooms/752124417745502491,Manhattan,Lower East Side,Entire home/apt,Entire rental unit,799.0
30396953,https://www.airbnb.com/rooms/30396953,Brooklyn,Sunset Park,Entire home/apt,Entire rental unit,165.63
705356389953069023,https://www.airbnb.com/rooms/705356389953069023,Manhattan,Lower East Side,Entire home/apt,Entire condo,129.8
766992440128844738,https://www.airbnb.com/rooms/766992440128844738,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,337.33
691270986280465661,https://www.airbnb.com/rooms/691270986280465661,Queens,Rosedale,Entire home/apt,Entire home,549.0
1594338824179049599,https://www.airbnb.com/rooms/1594338824179049599,Manhattan,Midtown,Entire home/apt,Entire rental unit,313.23
