listing_id,listing_name,listing_url,borough,neighborhood,room_type,max_guests,host_tier,segment,split_80_20,cv_fold,actual_price_usd,predicted_fair_price_log_ols_oof_usd,residual_actual_minus_predicted_usd,residual_pct_of_predicted,pricing_signal
2539,11 Min to Manhattan • Prospect Park • Fast WiFi,https://www.airbnb.com/rooms/2539,Brooklyn,Kensington,Private room,2,Small-Multi,Brooklyn | Private room | small,test_20,1,113.97,158.1,-44.13,-0.2791,Below model benchmark
6848,Only 2 stops to Manhattan studio,https://www.airbnb.com/rooms/6848,Brooklyn,Williamsburg,Entire home/apt,3,Individual,Brooklyn | Entire home/apt | medium,train_80,5,117.27,252.31,-135.04,-0.5352,Below model benchmark
6872,Uptown Sanctuary w/ Private Bath (Month to Month),https://www.airbnb.com/rooms/6872,Manhattan,East Harlem,Private room,1,Small-Multi,Manhattan | Private room | small,train_80,3,80.06,104.25,-24.19,-0.2321,Below model benchmark
6990,UES Beautiful Blue Room,https://www.airbnb.com/rooms/6990,Manhattan,East Harlem,Private room,1,Individual,Manhattan | Private room | small,test_20,1,77.17,220.85,-143.68,-0.6506,Below model benchmark
7097,"Perfect for Your Parents, With Garden & Patio",https://www.airbnb.com/rooms/7097,Brooklyn,Fort Greene,Private room,2,Small-Multi,Brooklyn | Private room | small,train_80,5,202.47,167.0,35.47,0.2124,Above model benchmark
7801,Sunny Williamsburg Loft with Private Cedar Sauna,https://www.airbnb.com/rooms/7801,Brooklyn,Williamsburg,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,5,365.97,210.79,155.18,0.7361,Above model benchmark
266449,2 Bedroom Gem - Prime LES Location,https://www.airbnb.com/rooms/266449,Manhattan,Lower East Side,Entire home/apt,4,Individual,Manhattan | Entire home/apt | medium,train_80,4,159.77,369.81,-210.04,-0.568,Below model benchmark
267376,Room in a New York loft,https://www.airbnb.com/rooms/267376,Manhattan,Financial District,Private room,1,Individual,Manhattan | Private room | small,train_80,4,87.77,197.77,-110.0,-0.5562,Below model benchmark
267652,Private clean spacious room - Across from subway,https://www.airbnb.com/rooms/267652,Brooklyn,Flatbush,Private room,1,Individual,Brooklyn | Private room | small,test_20,1,72.0,133.98,-61.98,-0.4626,Below model benchmark
115748,1 BDRM Apt-Weekends and short stays available,https://www.airbnb.com/rooms/115748,Queens,Astoria,Entire home/apt,2,Individual,Queens | Entire home/apt | small,train_80,5,118.07,138.98,-20.91,-0.1504,Below model benchmark
116551,Beautiful Harlem Studio Apartment - private access,https://www.airbnb.com/rooms/116551,Manhattan,Harlem,Entire home/apt,2,Individual,Manhattan | Entire home/apt | small,test_20,1,114.33,260.59,-146.26,-0.5613,Below model benchmark
118061,Style in Stuyvesant Heights,https://www.airbnb.com/rooms/118061,Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,5,124.35,191.61,-67.26,-0.351,Below model benchmark
128975,City Room - Street View Apt,https://www.airbnb.com/rooms/128975,Manhattan,Harlem,Entire home/apt,5,Small-Multi,Manhattan | Entire home/apt | large,test_20,1,113.03,294.12,-181.09,-0.6157,Below model benchmark
136493,Historical space with exceptional light & art,https://www.airbnb.com/rooms/136493,Brooklyn,Park Slope,Private room,3,Individual,Brooklyn | Private room | medium,train_80,5,432.0,175.88,256.12,1.4563,Above model benchmark
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",https://www.airbnb.com/rooms/12937,Queens,Long Island City,Private room,2,Individual,Queens | Private room | small,test_20,1,359.67,149.15,210.52,1.4115,Above model benchmark
12940,Charming Brownstone Near PRATT,https://www.airbnb.com/rooms/12940,Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,3,153.6,165.44,-11.84,-0.0716,Below model benchmark
14314,Greenpoint Place...Has It All!,https://www.airbnb.com/rooms/14314,Brooklyn,Greenpoint,Entire home/apt,2,Individual,Brooklyn | Entire home/apt | small,train_80,4,138.2,221.75,-83.55,-0.3768,Below model benchmark
