listing_id,segment,match_method,n_peers,n_high_performers,my_occupancy_days,peer_high_occupancy_days,occupancy_gap_days,missing_amenities_vs_peers,n_missing_amenities,predicted_fair_price_usd,residual_usd,pricing_signal
18550867,Bronx | Entire home/apt | large,exact_cohort,23,8,255,250.0,-5.0,fire_extinguisher,1,546.29,-182.29,Below fair value (underpriced)
17981267,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,kitchen; cooking_basics; air_conditioning; self_check_in,4,145.8,-13.54,Below fair value (underpriced)
26655705,Bronx | Entire home/apt | large,exact_cohort,23,8,240,250.0,10.0,wifi; dedicated_workspace,2,171.8,-47.58,Below fair value (underpriced)
31932152,Bronx | Entire home/apt | large,exact_cohort,23,8,120,250.0,130.0,dedicated_workspace; self_check_in; fire_extinguisher,3,180.75,6.43,Above fair value (overpriced)
50073875,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,wifi; bed_linens; dedicated_workspace; air_conditioning; self_check_in; fire_extinguisher,6,144.86,25.37,Above fair value (overpriced)
54007743,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,air_conditioning; shampoo,2,218.04,-6.05,Below fair value (underpriced)
613625022147622040,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,hair_dryer; iron; dedicated_workspace; air_conditioning; shampoo; self_check_in,6,276.67,-29.62,Below fair value (underpriced)
640550903674715854,Bronx | Entire home/apt | large,exact_cohort,23,8,180,250.0,70.0,wifi; air_conditioning; shampoo; fire_extinguisher,4,181.24,-38.24,Below fair value (underpriced)
681340518773187020,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,(none),0,251.88,-10.29,Below fair value (underpriced)
753356086346283078,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,iron; self_check_in,2,139.82,-8.92,Below fair value (underpriced)
767521098040013680,Bronx | Entire home/apt | large,exact_cohort,23,8,255,250.0,-5.0,(none),0,353.41,182.59,Above fair value (overpriced)
777802203255436038,Bronx | Entire home/apt | large,exact_cohort,23,8,230,250.0,20.0,air_conditioning; shampoo,2,887.84,-143.17,Below fair value (underpriced)
800620149781852857,Bronx | Entire home/apt | large,exact_cohort,23,8,179,250.0,71.0,hair_dryer; iron; microwave,3,417.17,-44.17,Below fair value (underpriced)
811811665116059750,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,air_conditioning,1,213.24,-81.57,Below fair value (underpriced)
1066911214449074405,Bronx | Entire home/apt | large,exact_cohort,23,8,255,250.0,-5.0,hangers; hair_dryer; iron; essentials; cooking_basics; shampoo; self_check_in; fire_extinguisher,8,321.01,186.99,Above fair value (overpriced)
1116930231790877712,Bronx | Entire home/apt | large,exact_cohort,23,8,205,250.0,45.0,hangers; essentials; self_check_in,3,538.2,-201.55,Below fair value (underpriced)
1124639976631699519,Bronx | Entire home/apt | large,exact_cohort,23,8,255,250.0,-5.0,air_conditioning,1,333.39,18.61,Above fair value (overpriced)
1241285636941190175,Bronx | Entire home/apt | large,exact_cohort,23,8,180,250.0,70.0,(none),0,208.96,-38.65,Below fair value (underpriced)
1294484908559399175,Bronx | Entire home/apt | large,exact_cohort,23,8,60,250.0,190.0,hot_water; hair_dryer; iron; essentials; dishes_and_silverware; microwave; cooking_basics; dedicated_workspace; shampoo; self_check_in; fire_extinguisher,11,155.7,46.36,Above fair value (overpriced)
1324196587232498954,Bronx | Entire home/apt | large,exact_cohort,23,8,180,250.0,70.0,carbon_monoxide_alarm; iron; essentials; dedicated_workspace; shampoo,5,167.63,-36.73,Below fair value (underpriced)
1353697223094683161,Bronx | Entire home/apt | large,exact_cohort,23,8,255,250.0,-5.0,dedicated_workspace; shampoo; fire_extinguisher,3,235.82,50.18,Above fair value (overpriced)
