listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,max_guests,host_tier,segment,market_segment,cv_fold,actual_price_usd,predicted_fair_price_usd,residual_usd,residual_pct_of_fair,pricing_signal
136493,Historical space with exceptional light & art,https://www.airbnb.com/rooms/136493,Brooklyn,Park Slope,Private room,Private room in townhouse,3,Individual,Brooklyn | Private room | medium,short_stay,2,432.0,502.52,-70.52,-0.1403,Below fair value (underpriced)
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",https://www.airbnb.com/rooms/12937,Queens,Long Island City,Private room,Private room in townhouse,2,Individual,Queens | Private room | small,short_stay,5,359.67,213.93,145.74,0.6812,Above fair value (overpriced)
16580,"Sunny, Modern room in East Village w City Views",https://www.airbnb.com/rooms/16580,Manhattan,East Village,Private room,Private room in condo,1,Small-Multi,Manhattan | Private room | small,short_stay,3,194.0,291.97,-97.97,-0.3355,Below fair value (underpriced)
16821,Charming Room in Amazing East Village Apt. (B),https://www.airbnb.com/rooms/16821,Manhattan,East Village,Private room,Private room in rental unit,1,Small-Multi,Manhattan | Private room | small,short_stay,4,214.54,251.86,-37.32,-0.1482,Below fair value (underpriced)
279857,"Gordy’s Place for Large Groups 8Rms, 5Bth, 24+beds",https://www.airbnb.com/rooms/279857,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire home,16,Individual,Brooklyn | Entire home/apt | large,short_stay,5,2593.0,5080.79,-2487.79,-0.4896,Below fair value (underpriced)
150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,https://www.airbnb.com/rooms/150804,Manhattan,Lower East Side,Private room,Private room in rental unit,2,Individual,Manhattan | Private room | small,short_stay,4,533.5,449.2,84.3,0.1877,Above fair value (overpriced)
151199,Astoria/LIC  Private Home located near train,https://www.airbnb.com/rooms/151199,Queens,Astoria,Entire home/apt,Entire home,3,Individual,Queens | Entire home/apt | medium,short_stay,1,342.5,323.65,18.85,0.0582,Above fair value (overpriced)
152263,Cozy private room and bathroom in a Brownstone,https://www.airbnb.com/rooms/152263,Manhattan,Harlem,Private room,Private room in guest suite,3,Small-Multi,Manhattan | Private room | medium,short_stay,2,320.0,250.71,69.29,0.2764,Above fair value (overpriced)
294242,Loft Suite,https://www.airbnb.com/rooms/294242,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,4,Enterprise,Brooklyn | Entire home/apt | medium,short_stay,1,752.04,453.68,298.36,0.6576,Above fair value (overpriced)
294259,Loft Suite,https://www.airbnb.com/rooms/294259,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,4,Enterprise,Brooklyn | Entire home/apt | medium,short_stay,4,752.04,470.11,281.93,0.5997,Above fair value (overpriced)
294263,Loft Suite,https://www.airbnb.com/rooms/294263,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,4,Enterprise,Brooklyn | Entire home/apt | medium,short_stay,4,536.0,484.38,51.62,0.1066,Above fair value (overpriced)
170761,"Fort Greene, Brooklyn: Front Bedroom",https://www.airbnb.com/rooms/170761,Brooklyn,Fort Greene,Private room,Private room in rental unit,2,Small-Multi,Brooklyn | Private room | small,short_stay,5,212.0,231.46,-19.46,-0.0841,Below fair value (underpriced)
25696,Hague House,https://www.airbnb.com/rooms/25696,Manhattan,Harlem,Private room,Private room in condo,2,Individual,Manhattan | Private room | small,short_stay,1,256.76,259.94,-3.18,-0.0122,Below fair value (underpriced)
189135,Hell's Kitchen Funky 80s Hideaway!,https://www.airbnb.com/rooms/189135,Manhattan,Hell's Kitchen,Private room,Private room in rental unit,2,Individual,Manhattan | Private room | small,short_stay,3,217.0,272.86,-55.86,-0.2047,Below fair value (underpriced)
29628,"Comfortable, Sunny Room",https://www.airbnb.com/rooms/29628,Brooklyn,Clinton Hill,Private room,Private room in condo,2,Individual,Brooklyn | Private room | small,short_stay,1,272.5,262.37,10.13,0.0386,Above fair value (overpriced)
31994,Room with En Suite Bathroom & Deck,https://www.airbnb.com/rooms/31994,Brooklyn,Clinton Hill,Private room,Private room in rental unit,2,Small-Multi,Brooklyn | Private room | small,short_stay,4,165.47,172.16,-6.69,-0.0389,Below fair value (underpriced)
191610,Presence Guest Room - Chelsea NYC,https://www.airbnb.com/rooms/191610,Manhattan,Chelsea,Private room,Private room in townhouse,2,Individual,Manhattan | Private room | small,short_stay,5,246.5,253.84,-7.34,-0.0289,Below fair value (underpriced)
310524,Clinton Hill Duplex near Pratt w/Huge Patio!,https://www.airbnb.com/rooms/310524,Brooklyn,Bedford-Stuyvesant,Private room,Private room in condo,2,Individual,Brooklyn | Private room | small,short_stay,1,217.0,224.97,-7.97,-0.0354,Below fair value (underpriced)
39282,Cozy “Indie Rock”Room in the Heart of Williamsburg,https://www.airbnb.com/rooms/39282,Brooklyn,Williamsburg,Private room,Private room in rental unit,2,Small-Multi,Brooklyn | Private room | small,short_stay,3,253.75,203.85,49.9,0.2448,Above fair value (overpriced)
343276,Large Private Midtown Room!,https://www.airbnb.com/rooms/343276,Manhattan,Hell's Kitchen,Private room,Private room in rental unit,2,Individual,Manhattan | Private room | small,short_stay,5,200.0,289.56,-89.56,-0.3093,Below fair value (underpriced)
213330,Master Bedroom - Unbelievably RARE Penthouse Oasis,https://www.airbnb.com/rooms/213330,Manhattan,Chinatown,Private room,Private room in rental unit,2,Individual,Manhattan | Private room | small,short_stay,3,296.0,275.78,20.22,0.0733,Above fair value (overpriced)
373618,"Designer’s loft, roof deck best W’burg",https://www.airbnb.com/rooms/373618,Brooklyn,Williamsburg,Private room,Private room in loft,2,Small-Multi,Brooklyn | Private room | small,short_stay,5,413.0,271.76,141.24,0.5197,Above fair value (overpriced)
46911,Large Room pr/h Br/St in Park Slope,https://www.airbnb.com/rooms/46911,Brooklyn,Park Slope,Private room,Private room in home,2,Small-Multi,Brooklyn | Private room | small,short_stay,2,102.24,233.46,-131.22,-0.5621,Below fair value (underpriced)
52689,"Private, sunny two-bedroom near subway & shops",https://www.airbnb.com/rooms/52689,Queens,Ditmars Steinway,Private room,Private room in townhouse,2,Individual,Queens | Private room | small,short_stay,1,291.0,288.35,2.65,0.0092,Above fair value (overpriced)
232612,"Lovely pied-à-terre, in an historic building",https://www.airbnb.com/rooms/232612,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,2,Individual,Brooklyn | Private room | small,short_stay,4,181.26,220.85,-39.59,-0.1793,Below fair value (underpriced)
54508,S/Rm Br/st  PSlope great for  Med/Stu,https://www.airbnb.com/rooms/54508,Brooklyn,Park Slope,Private room,Private room in guest suite,2,Small-Multi,Brooklyn | Private room | small,short_stay,2,149.0,332.22,-183.22,-0.5515,Below fair value (underpriced)
55959,Work From Our Home w/ Loft,https://www.airbnb.com/rooms/55959,Brooklyn,Williamsburg,Private room,Private room in rental unit,1,Small-Multi,Brooklyn | Private room | small,short_stay,1,238.25,243.3,-5.05,-0.0208,Below fair value (underpriced)
245574,Brooklyn Brownstone home share,https://www.airbnb.com/rooms/245574,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,2,Individual,Brooklyn | Private room | small,short_stay,4,354.0,219.16,134.84,0.6153,Above fair value (overpriced)
431865,Elegant Uptown Historic District Garden Suite,https://www.airbnb.com/rooms/431865,Manhattan,Washington Heights,Entire home/apt,Entire guest suite,2,Individual,Manhattan | Entire home/apt | small,short_stay,4,480.75,341.21,139.54,0.409,Above fair value (overpriced)
253332,"Spacious, modern private suite in large apartment",https://www.airbnb.com/rooms/253332,Brooklyn,Sunset Park,Private room,Private room in condo,2,Individual,Brooklyn | Private room | small,short_stay,1,279.67,212.91,66.76,0.3136,Above fair value (overpriced)
253475,Loft Suite,https://www.airbnb.com/rooms/253475,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,4,Enterprise,Brooklyn | Entire home/apt | medium,short_stay,1,752.04,415.67,336.37,0.8092,Above fair value (overpriced)
253800,Loft Suite,https://www.airbnb.com/rooms/253800,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,4,Enterprise,Brooklyn | Entire home/apt | medium,short_stay,2,752.04,439.5,312.54,0.7111,Above fair value (overpriced)
253839,Loft w/ Terrace @ Box House Hotel,https://www.airbnb.com/rooms/253839,Brooklyn,Greenpoint,Private room,Room in boutique hotel,4,Enterprise,Brooklyn | Private room | medium,short_stay,1,479.0,511.96,-32.96,-0.0644,Below fair value (underpriced)
253846,Superior @ Box House,https://www.airbnb.com/rooms/253846,Brooklyn,Greenpoint,Hotel room,Room in boutique hotel,2,Enterprise,Brooklyn | Hotel room | small,short_stay,1,564.0,440.66,123.34,0.2799,Above fair value (overpriced)
453094,Bedroom With Own Bathroom and Backyard,https://www.airbnb.com/rooms/453094,Brooklyn,Clinton Hill,Private room,Private room in rental unit,2,Small-Multi,Brooklyn | Private room | small,short_stay,5,148.5,183.64,-35.14,-0.1914,Below fair value (underpriced)
255601,Cozy Modern 2 Bedroom Apartment 20 min from City,https://www.airbnb.com/rooms/255601,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire guest suite,2,Individual,Brooklyn | Entire home/apt | small,short_stay,5,318.33,329.82,-11.49,-0.0348,Below fair value (underpriced)
698132,Large private suite in our home in Brooklyn.,https://www.airbnb.com/rooms/698132,Brooklyn,Bedford-Stuyvesant,Private room,Private room in guest suite,2,Individual,Brooklyn | Private room | small,short_stay,5,222.0,250.48,-28.48,-0.1137,Below fair value (underpriced)
498052,Room in modern Willamsburg apartment Brooklyn,https://www.airbnb.com/rooms/498052,Brooklyn,Williamsburg,Private room,Private room in condo,2,Individual,Brooklyn | Private room | small,short_stay,3,296.0,322.4,-26.4,-0.0819,Below fair value (underpriced)
77765,Superior @ Box House,https://www.airbnb.com/rooms/77765,Brooklyn,Greenpoint,Hotel room,Room in boutique hotel,2,Enterprise,Brooklyn | Hotel room | small,short_stay,5,564.0,418.66,145.34,0.3472,Above fair value (overpriced)
80684,Duplex w/ Terrace @ Box House Hotel,https://www.airbnb.com/rooms/80684,Brooklyn,Greenpoint,Hotel room,Room in boutique hotel,4,Enterprise,Brooklyn | Hotel room | medium,short_stay,3,593.0,528.4,64.6,0.1223,Above fair value (overpriced)
699472,"NYC Shipping Container Home, Class B Dwelling Unit",https://www.airbnb.com/rooms/699472,Brooklyn,Williamsburg,Entire home/apt,Entire rental unit,4,Small-Multi,Brooklyn | Entire home/apt | medium,short_stay,4,274.0,364.4,-90.4,-0.2481,Below fair value (underpriced)
84010,Superior @ Box House,https://www.airbnb.com/rooms/84010,Brooklyn,Greenpoint,Hotel room,Room in boutique hotel,2,Enterprise,Brooklyn | Hotel room | small,short_stay,2,564.0,417.4,146.6,0.3512,Above fair value (overpriced)
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",https://www.airbnb.com/rooms/94783,Brooklyn,Crown Heights,Entire home/apt,Entire rental unit,2,Individual,Brooklyn | Entire home/apt | small,short_stay,4,211.14,325.5,-114.36,-0.3513,Below fair value (underpriced)
727512,Duplex Loft Suite with Patio,https://www.airbnb.com/rooms/727512,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,4,Enterprise,Brooklyn | Entire home/apt | medium,short_stay,2,342.0,420.83,-78.83,-0.1873,Below fair value (underpriced)
727547,Duplex Loft Suite with Patio,https://www.airbnb.com/rooms/727547,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,4,Enterprise,Brooklyn | Entire home/apt | medium,short_stay,1,422.0,479.68,-57.68,-0.1202,Below fair value (underpriced)
552639,Beautiful 2-BDRM Brownstone Apartment,https://www.airbnb.com/rooms/552639,Manhattan,Harlem,Entire home/apt,Entire rental unit,5,Small-Multi,Manhattan | Entire home/apt | large,short_stay,1,314.0,462.32,-148.32,-0.3208,Below fair value (underpriced)
748118,Huge Condo w/ Private Guest Wing & Garden Oasis,https://www.airbnb.com/rooms/748118,Brooklyn,Greenpoint,Private room,Private room in condo,2,Individual,Brooklyn | Private room | small,short_stay,5,418.67,435.25,-16.58,-0.0381,Below fair value (underpriced)
