listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier,market_segment,actual_price_usd,predicted_fair_price_usd,prediction_sd_usd,prediction_uncertainty_pct,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal
136493,Historical space with exceptional light & art,https://www.airbnb.com/rooms/136493,Brooklyn,Park Slope,Private room,Private room in townhouse,Individual,short_stay,432.0,494.09,140.36,0.2841,36.3,Low,-62.09,-0.1257,Below fair value (review price)
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",https://www.airbnb.com/rooms/12937,Queens,Long Island City,Private room,Private room in townhouse,Individual,short_stay,359.67,214.0,59.56,0.2783,46.5,Low,145.67,0.6807,Above fair value (review price)
16580,"Sunny, Modern room in East Village w City Views",https://www.airbnb.com/rooms/16580,Manhattan,East Village,Private room,Private room in condo,Small-Multi,short_stay,194.0,292.14,82.74,0.2832,37.4,Low,-98.14,-0.3359,Below fair value (review price)
16821,Charming Room in Amazing East Village Apt. (B),https://www.airbnb.com/rooms/16821,Manhattan,East Village,Private room,Private room in rental unit,Small-Multi,short_stay,214.54,251.93,69.95,0.2776,48.1,Low,-37.39,-0.1484,Below fair value (review price)
279857,"Gordy’s Place for Large Groups 8Rms, 5Bth, 24+beds",https://www.airbnb.com/rooms/279857,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire home,Individual,short_stay,2593.0,5080.91,1380.99,0.2718,71.6,Medium,-2487.91,-0.4897,Below fair value (review price)
150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,https://www.airbnb.com/rooms/150804,Manhattan,Lower East Side,Private room,Private room in rental unit,Individual,short_stay,533.5,448.99,122.24,0.2723,69.0,Medium,84.51,0.1882,Above fair value (review price)
151199,Astoria/LIC  Private Home located near train,https://www.airbnb.com/rooms/151199,Queens,Astoria,Entire home/apt,Entire home,Individual,short_stay,342.5,324.78,90.5,0.2786,46.0,Low,17.72,0.0546,Above fair value (review price)
152263,Cozy private room and bathroom in a Brownstone,https://www.airbnb.com/rooms/152263,Manhattan,Harlem,Private room,Private room in guest suite,Small-Multi,short_stay,320.0,251.17,69.78,0.2778,47.8,Low,68.83,0.274,Above fair value (review price)
294242,Loft Suite,https://www.airbnb.com/rooms/294242,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,752.04,449.04,125.4,0.2793,44.9,Low,303.0,0.6748,Above fair value (review price)
294259,Loft Suite,https://www.airbnb.com/rooms/294259,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,752.04,469.95,131.24,0.2793,44.9,Low,282.09,0.6003,Above fair value (review price)
294263,Loft Suite,https://www.airbnb.com/rooms/294263,Brooklyn,Greenpoint,Entire home/apt,Entire rental unit,Enterprise,short_stay,536.0,484.25,135.24,0.2793,44.9,Low,51.75,0.1069,Above fair value (review price)
170761,"Fort Greene, Brooklyn: Front Bedroom",https://www.airbnb.com/rooms/170761,Brooklyn,Fort Greene,Private room,Private room in rental unit,Small-Multi,short_stay,212.0,231.25,67.28,0.2909,29.3,Low,-19.25,-0.0832,Below fair value (review price)
25696,Hague House,https://www.airbnb.com/rooms/25696,Manhattan,Harlem,Private room,Private room in condo,Individual,short_stay,256.76,260.23,71.47,0.2747,60.6,Medium,-3.47,-0.0133,Below fair value (review price)
189135,Hell's Kitchen Funky 80s Hideaway!,https://www.airbnb.com/rooms/189135,Manhattan,Hell's Kitchen,Private room,Private room in rental unit,Individual,short_stay,217.0,272.69,73.54,0.2697,77.9,High,-55.69,-0.2042,Below fair value (review price)
29628,"Comfortable, Sunny Room",https://www.airbnb.com/rooms/29628,Brooklyn,Clinton Hill,Private room,Private room in condo,Individual,short_stay,272.5,263.92,76.63,0.2903,30.1,Low,8.58,0.0325,Above fair value (review price)
31994,Room with En Suite Bathroom & Deck,https://www.airbnb.com/rooms/31994,Brooklyn,Clinton Hill,Private room,Private room in rental unit,Small-Multi,short_stay,165.47,172.22,49.12,0.2852,34.0,Low,-6.75,-0.0392,Below fair value (review price)
