segment,beta_bootstrap
full_sample,-0.741913
full_sample,-0.7048
full_sample,-0.658619
full_sample,-0.480644
full_sample,-0.912792
full_sample,-0.778806
full_sample,-0.326451
full_sample,-0.797733
full_sample,-0.625324
full_sample,-0.505133
full_sample,-0.435517
full_sample,-0.717383
full_sample,-0.526986
full_sample,-0.393549
full_sample,-0.856331
full_sample,-0.622299
full_sample,-0.782747
full_sample,-0.222542
full_sample,-0.337506
full_sample,-1.043785
full_sample,-0.221285
full_sample,-0.772934
full_sample,-0.337496
full_sample,-0.639364
full_sample,-0.349674
full_sample,-0.684564
full_sample,-0.722332
full_sample,-0.789037
full_sample,-0.608776
full_sample,-0.717347
full_sample,-0.499189
full_sample,-0.702518
full_sample,-0.584467
full_sample,-0.482429
full_sample,-0.767409
full_sample,-0.583669
full_sample,-0.52798
full_sample,-0.378396
full_sample,-0.879811
full_sample,-0.30155
full_sample,-0.588667
full_sample,-0.389793
full_sample,-0.454655
full_sample,-0.487297
full_sample,-0.544831
full_sample,-0.563365
full_sample,-0.834359
full_sample,-0.744652
full_sample,-0.519075
full_sample,-0.524011
full_sample,-0.848739
full_sample,-0.600843
full_sample,-0.465473
full_sample,-0.637669
full_sample,-0.307647
full_sample,-0.53932
full_sample,-1.05777
full_sample,-0.861677
full_sample,-0.437028
full_sample,-0.71351
full_sample,-0.362712
full_sample,-0.935122
full_sample,-0.430743
full_sample,-0.540792
full_sample,-0.608822
full_sample,-0.636301
full_sample,-0.545217
full_sample,-0.358902
full_sample,-0.637811
full_sample,-0.838358
full_sample,-0.766868
full_sample,-0.589421
full_sample,-0.626732
full_sample,-0.399809
full_sample,-0.95781
full_sample,-0.848935
full_sample,-0.523591
full_sample,-1.042258
full_sample,-0.808698
full_sample,-0.506006
full_sample,-0.896322
full_sample,-0.715725
full_sample,-0.542767
full_sample,-0.240804
full_sample,-0.627102
full_sample,-0.3713
full_sample,-0.837927
full_sample,-0.859401
full_sample,-0.58459
full_sample,-0.629077
full_sample,-0.551595
full_sample,-0.580539
full_sample,-0.567068
full_sample,-0.211642
full_sample,-0.26606
full_sample,-0.761377
full_sample,-0.694443
full_sample,-0.680419
full_sample,-0.484978
full_sample,-0.524161
short_stay,-1.281757
short_stay,-0.944277
short_stay,-0.893712
short_stay,-0.886592
short_stay,-1.20029
short_stay,-0.872901
short_stay,-1.264727
short_stay,-1.32785
short_stay,-1.247702
short_stay,-0.982903
short_stay,-1.359091
short_stay,-0.868317
short_stay,-0.858913
short_stay,-0.836114
short_stay,-0.73733
short_stay,-0.692917
short_stay,-0.80912
short_stay,-0.957724
short_stay,-0.69599
short_stay,-0.911859
short_stay,-1.088873
short_stay,-1.067693
short_stay,-0.886865
short_stay,-1.259999
short_stay,-0.874172
short_stay,-1.062159
short_stay,-0.779328
short_stay,-0.767615
short_stay,-0.931534
short_stay,-1.115433
short_stay,-0.747083
short_stay,-1.11933
short_stay,-0.687009
short_stay,-0.952704
short_stay,-1.226894
short_stay,-0.990068
short_stay,-1.108416
short_stay,-1.077768
short_stay,-0.91059
short_stay,-1.193659
short_stay,-1.034948
short_stay,-0.896909
short_stay,-0.661578
short_stay,-1.041805
short_stay,-0.922037
short_stay,-1.220426
short_stay,-0.685316
short_stay,-0.796472
short_stay,-0.645672
short_stay,-0.758502
short_stay,-1.050259
short_stay,-0.913174
short_stay,-0.664702
short_stay,-1.012079
short_stay,-0.896879
short_stay,-0.819107
short_stay,-1.008139
short_stay,-0.962255
short_stay,-0.923465
short_stay,-0.851367
short_stay,-0.841935
short_stay,-0.445895
short_stay,-1.001528
short_stay,-0.630981
short_stay,-0.785136
short_stay,-0.549614
short_stay,-0.726693
short_stay,-1.071937
short_stay,-0.954029
short_stay,-0.838526
short_stay,-1.109833
short_stay,-1.19314
short_stay,-0.626139
short_stay,-0.909844
short_stay,-0.970442
short_stay,-0.868363
short_stay,-0.900315
short_stay,-0.85574
short_stay,-0.970977
short_stay,-0.902967
short_stay,-0.974786
short_stay,-0.538202
short_stay,-1.121747
short_stay,-0.997788
short_stay,-0.962943
short_stay,-0.667328
short_stay,-0.679496
short_stay,-0.681759
short_stay,-0.78955
short_stay,-1.30774
short_stay,-0.77136
short_stay,-1.022344
short_stay,-0.872881
short_stay,-0.861584
short_stay,-0.657051
short_stay,-0.785927
short_stay,-1.141371
short_stay,-0.936121
short_stay,-1.175652
short_stay,-0.38095
monthly,0.013289
monthly,-0.087939
monthly,0.079526
monthly,-0.007994
monthly,0.544178
monthly,0.240501
monthly,0.112276
monthly,0.373068
monthly,0.511419
monthly,0.390109
monthly,-0.223951
monthly,0.11308
monthly,0.222781
monthly,-0.304585
monthly,0.217785
monthly,-0.11388
monthly,0.384949
monthly,0.190513
monthly,0.304713
monthly,0.039834
monthly,-0.288782
monthly,0.36135
monthly,0.206331
monthly,0.379334
monthly,-0.12732
monthly,-0.08701
monthly,0.231641
monthly,0.184085
monthly,-0.102375
monthly,0.12951
monthly,0.011277
monthly,0.058397
monthly,-0.09608
monthly,0.124262
monthly,0.089245
monthly,0.576181
monthly,-0.302652
monthly,0.088574
monthly,-0.293968
monthly,0.001872
monthly,-0.019043
monthly,0.230122
monthly,0.110634
monthly,-0.077463
monthly,0.020285
monthly,0.093553
monthly,-0.043178
monthly,0.3168
monthly,0.01012
monthly,0.182182
monthly,-0.013323
monthly,0.575654
monthly,0.02638
monthly,-0.016008
monthly,0.227757
monthly,0.48486
monthly,0.231358
monthly,0.243029
monthly,-0.583255
monthly,0.317021
monthly,0.170938
monthly,0.324384
monthly,0.148411
monthly,0.052659
monthly,0.312264
monthly,0.582114
monthly,0.223383
monthly,0.408064
monthly,0.087642
monthly,-0.275687
monthly,0.243945
monthly,0.204072
monthly,0.189664
monthly,-0.35581
monthly,0.21462
monthly,0.369558
monthly,0.078577
monthly,0.227066
monthly,-0.140153
monthly,0.405212
monthly,0.194549
monthly,0.005293
monthly,-0.053058
monthly,0.034625
monthly,0.161974
monthly,0.180051
monthly,-0.04863
monthly,0.125341
monthly,-0.062889
monthly,0.032562
monthly,0.027009
monthly,-0.033685
monthly,-0.091456
monthly,0.273531
monthly,0.063212
monthly,-0.003854
monthly,0.378565
monthly,0.18491
monthly,1.128289
monthly,-0.080306
