listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue,min_nights,min_nights_airroi,segment,occ_clipped,ln_occ,ln_rate,month
253800,2025-08-01,26,5,0.161,1960.0,396.2,392.0,5.0,7.0,1.0,392.0,396.0,1960.0,1.0,1.0,short_stay,0.161,-1.8263509139976741,5.971261839790462,2025-08
253800,2025-09-01,16,14,0.467,6123.0,446.6,437.4,24.0,6.0,1.0,437.0,447.0,6123.0,1.0,1.0,short_stay,0.467,-0.7614260213132397,6.080848108242668,2025-09
253800,2025-10-01,25,6,0.194,3066.0,465.5,511.0,85.0,3.0,1.0,511.0,466.0,3066.0,1.0,1.0,short_stay,0.194,-1.6398971199188088,6.236369590203704,2025-10
253800,2025-11-01,29,1,0.033,487.0,433.5,487.0,11.0,1.0,1.0,487.0,434.0,487.0,1.0,1.0,short_stay,0.033,-3.4112477175156566,6.18826412308259,2025-11
253800,2026-04-01,26,4,0.133,1535.0,393.0,383.8,34.0,4.0,1.0,384.0,393.0,1535.0,1.0,1.0,short_stay,0.133,-2.017406150760383,5.950121583573599,2026-04
253800,2026-05-01,28,3,0.097,1406.0,473.8,468.7,25.0,3.0,1.0,469.0,474.0,1406.0,1.0,1.0,short_stay,0.097,-2.333044300478754,6.14996290492866,2026-05
253800,2026-06-01,26,4,0.133,2680.0,564.4,670.0,18.0,2.0,1.0,670.0,564.0,2680.0,1.0,1.0,short_stay,0.133,-2.017406150760383,6.507277712385012,2026-06
136493,2025-07-01,11,20,0.645,5711.0,285.3,285.6,79.0,6.0,4.0,286.0,285.0,5711.0,3.0,663384.0,short_stay,0.645,-0.43850496218636453,5.654592230465429,2025-07
136493,2025-08-01,10,21,0.677,5895.0,281.7,280.7,72.0,7.0,3.0,281.0,282.0,5895.0,3.0,663384.0,short_stay,0.677,-0.390084006069862,5.637286483367837,2025-08
136493,2025-11-01,26,4,0.133,1170.0,285.2,292.5,14.0,4.0,3.0,293.0,285.0,1170.0,3.0,663384.0,short_stay,0.133,-2.017406150760383,5.678464666671911,2025-11
1278784,2025-07-01,7,24,0.774,2173.0,90.6,90.5,1.0,24.0,30.0,91.0,91.0,2173.0,30.0,30.0,monthly,0.774,-0.2561834053924099,4.505349850705881,2025-07
1278784,2025-08-01,27,4,0.129,306.0,78.8,76.5,187.0,45.0,30.0,77.0,79.0,306.0,30.0,30.0,monthly,0.129,-2.047942874620465,4.33729074083249,2025-08
1278784,2025-09-01,0,30,1.0,2249.0,75.0,75.0,,,30.0,75.0,75.0,2249.0,30.0,30.0,monthly,1.0,0.0,4.31748811353631,2025-09
1278784,2025-10-01,16,15,0.484,1001.0,60.5,66.7,1.0,20.0,30.0,67.0,61.0,1001.0,30.0,30.0,monthly,0.484,-0.7256703722655053,4.200204952921578,2025-10
1278784,2025-11-01,10,20,0.667,1253.0,61.8,62.6,1.0,33.0,30.0,63.0,62.0,1253.0,30.0,30.0,monthly,0.667,-0.4049652330665133,4.136765278106052,2025-11
1278784,2025-12-01,2,29,0.935,1635.0,56.2,56.4,,,30.0,56.0,56.0,1635.0,30.0,30.0,monthly,0.935,-0.06720874969344999,4.032469158504013,2025-12
1278784,2026-01-01,9,22,0.71,1343.0,60.6,61.0,45.0,30.0,30.0,61.0,61.0,1343.0,30.0,30.0,monthly,0.71,-0.342490308946776,4.110873864173311,2026-01
1278784,2026-02-01,17,11,0.393,631.0,57.2,57.4,4.0,3.0,30.0,57.0,57.0,631.0,30.0,30.0,monthly,0.393,-0.9339456671128757,4.050044303325521,2026-02
1278784,2026-04-01,10,20,0.667,1298.0,63.0,64.9,25.0,24.0,30.0,65.0,63.0,1298.0,30.0,30.0,monthly,0.667,-0.4049652330665133,4.1728476237100445,2026-04
1278784,2026-05-01,2,29,0.935,1945.0,67.0,67.1,108.0,25.0,30.0,67.0,67.0,1945.0,30.0,30.0,monthly,0.935,-0.06720874969344999,4.206184043977636,2026-05
