listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
758919,2025-07-01,31,0,0.0,0.0,520.5,,,,30,,521.0,0.0
758919,2025-08-01,31,0,0.0,0.0,526.3,,,,30,,526.0,0.0
758919,2025-09-01,30,0,0.0,0.0,516.8,,,,30,,517.0,0.0
758919,2025-10-01,31,0,0.0,0.0,527.2,,,,30,,527.0,0.0
758919,2025-11-01,30,0,0.0,0.0,533.8,,,,30,,534.0,0.0
758919,2025-12-01,25,6,0.194,3175.0,534.8,529.2,1,6,30,529.0,535.0,3175.0
758919,2026-01-01,31,0,0.0,0.0,566.4,,,,30,,566.0,0.0
758919,2026-02-01,28,0,0.0,0.0,620.0,,,,30,,620.0,0.0
758919,2026-03-01,31,0,0.0,0.0,602.5,,,,30,,603.0,0.0
758919,2026-04-01,30,0,0.0,0.0,601.9,,,,30,,602.0,0.0
758919,2026-05-01,31,0,0.0,0.0,600.4,,,,30,,600.0,0.0
758919,2026-06-01,24,6,0.2,3530.0,585.2,588.3,1,6,30,588.0,585.0,3530.0
253800,2025-07-01,31,0,0.0,0.0,380.1,,,,1,,380.0,0.0
253800,2025-08-01,26,5,0.161,1960.0,396.2,392.0,5,7,1,392.0,396.0,1960.0
253800,2025-09-01,16,14,0.467,6123.0,446.6,437.4,24,6,1,437.0,447.0,6123.0
253800,2025-10-01,25,6,0.194,3066.0,465.5,511.0,85,3,1,511.0,466.0,3066.0
253800,2025-11-01,29,1,0.033,487.0,433.5,487.0,11,1,1,487.0,434.0,487.0
253800,2025-12-01,31,0,0.0,0.0,391.6,,,,1,,392.0,0.0
253800,2026-01-01,31,0,0.0,0.0,359.3,,,,1,,359.0,0.0
253800,2026-02-01,28,0,0.0,0.0,415.8,,,,1,,416.0,0.0
253800,2026-03-01,31,0,0.0,0.0,416.0,,,,1,,416.0,0.0
253800,2026-04-01,26,4,0.133,1535.0,393.0,383.8,34,4,1,384.0,393.0,1535.0
253800,2026-05-01,28,3,0.097,1406.0,473.8,468.7,25,3,1,469.0,474.0,1406.0
253800,2026-06-01,26,4,0.133,2680.0,564.4,670.0,18,2,1,670.0,564.0,2680.0
136493,2025-07-01,11,20,0.645,5711.0,285.3,285.6,79,6,4,286.0,285.0,5711.0
136493,2025-08-01,10,21,0.677,5895.0,281.7,280.7,72,7,3,281.0,282.0,5895.0
136493,2025-09-01,30,0,0.0,0.0,294.3,,,,3,,294.0,0.0
136493,2025-10-01,31,0,0.0,0.0,283.5,,,,3,,284.0,0.0
136493,2025-11-01,26,4,0.133,1170.0,285.2,292.5,14,4,3,293.0,285.0,1170.0
136493,2025-12-01,31,0,0.0,0.0,299.5,,,,3,,300.0,0.0
136493,2026-01-01,31,0,0.0,0.0,302.3,,,,3,,302.0,0.0
136493,2026-02-01,28,0,0.0,0.0,400.1,,,,3,,400.0,0.0
136493,2026-03-01,31,0,0.0,0.0,398.8,,,,3,,399.0,0.0
136493,2026-04-01,30,0,0.0,0.0,408.1,,,,3,,408.0,0.0
136493,2026-05-01,31,0,0.0,0.0,412.0,,,,3,,412.0,0.0
136493,2026-06-01,30,0,0.0,0.0,400.1,,,,3,,400.0,0.0
1278784,2025-07-01,7,24,0.774,2173.0,90.6,90.5,1,24,30,91.0,91.0,2173.0
1278784,2025-08-01,27,4,0.129,306.0,78.8,76.5,187,45,30,77.0,79.0,306.0
1278784,2025-09-01,0,30,1.0,2249.0,75.0,75.0,,,30,75.0,75.0,2249.0
1278784,2025-10-01,16,15,0.484,1001.0,60.5,66.7,1,20,30,67.0,61.0,1001.0
1278784,2025-11-01,10,20,0.667,1253.0,61.8,62.6,1,33,30,63.0,62.0,1253.0
1278784,2025-12-01,2,29,0.935,1635.0,56.2,56.4,,,30,56.0,56.0,1635.0
1278784,2026-01-01,9,22,0.71,1343.0,60.6,61.0,45,30,30,61.0,61.0,1343.0
1278784,2026-02-01,17,11,0.393,631.0,57.2,57.4,4,3,30,57.0,57.0,631.0
1278784,2026-03-01,31,0,0.0,0.0,60.3,,,,30,,60.0,0.0
1278784,2026-04-01,10,20,0.667,1298.0,63.0,64.9,25,24,30,65.0,63.0,1298.0
1278784,2026-05-01,2,29,0.935,1945.0,67.0,67.1,108,25,30,67.0,67.0,1945.0
1278784,2026-06-01,1,29,0.967,1978.0,68.3,68.2,58,48,30,68.0,68.0,1978.0
425423,2025-07-01,28,3,0.097,134.0,46.2,44.7,1,1,30,45.0,46.0,134.0
425423,2025-08-01,20,11,0.355,509.0,43.7,46.3,1,11,30,46.0,44.0,509.0
425423,2025-09-01,30,0,0.0,0.0,41.1,,,,30,,41.0,0.0
425423,2025-10-01,31,0,0.0,0.0,38.3,,,,30,,38.0,0.0
425423,2025-11-01,30,0,0.0,0.0,38.9,,,,30,,39.0,0.0
425423,2025-12-01,31,0,0.0,0.0,39.5,,,,30,,40.0,0.0
425423,2026-01-01,31,0,0.0,0.0,39.2,,,,30,,39.0,0.0
425423,2026-02-01,28,0,0.0,0.0,45.6,,,,30,,46.0,0.0
425423,2026-03-01,31,0,0.0,0.0,48.0,,,,30,,48.0,0.0
425423,2026-04-01,30,0,0.0,0.0,49.9,,,,30,,50.0,0.0
425423,2026-05-01,31,0,0.0,0.0,47.0,,,,30,,47.0,0.0
425423,2026-06-01,30,0,0.0,0.0,50.5,,,,30,,51.0,0.0
33009,2025-07-01,31,0,0.0,0.0,193.7,,,,30,,194.0,0.0
33009,2025-08-01,28,3,0.097,605.0,200.0,201.7,54,1,30,202.0,200.0,605.0
33009,2025-09-01,28,2,0.067,342.0,178.7,171.0,80,1,30,171.0,179.0,342.0
33009,2025-10-01,10,21,0.677,3385.0,165.0,161.2,14,44,30,161.0,165.0,3385.0
33009,2025-11-01,3,27,0.9,4509.0,166.0,167.0,1,34,30,167.0,166.0,4509.0
33009,2025-12-01,1,30,0.968,4981.0,167.1,166.0,,,30,166.0,167.0,4981.0
33009,2026-01-01,29,2,0.065,331.0,175.3,165.5,1,2,30,166.0,175.0,331.0
33009,2026-02-01,28,0,0.0,0.0,197.7,,,,30,,198.0,0.0
33009,2026-03-01,31,0,0.0,0.0,196.6,,,,30,,197.0,0.0
33009,2026-04-01,30,0,0.0,0.0,199.6,,,,30,,200.0,0.0
33009,2026-05-01,31,0,0.0,0.0,198.6,,,,30,,199.0,0.0
33009,2026-06-01,30,0,0.0,0.0,195.3,,,,30,,195.0,0.0
993514,2025-07-01,13,18,0.581,4139.0,232.9,229.9,,,30,230.0,233.0,4139.0
993514,2025-08-01,31,0,0.0,0.0,231.1,,,,30,,231.0,0.0
993514,2025-09-01,30,0,0.0,0.0,231.0,,,,30,,231.0,0.0
993514,2025-10-01,31,0,0.0,0.0,230.5,,,,30,,231.0,0.0
993514,2025-11-01,30,0,0.0,0.0,215.7,,,,30,,216.0,0.0
993514,2025-12-01,31,0,0.0,0.0,210.8,,,,30,,211.0,0.0
993514,2026-01-01,31,0,0.0,0.0,220.6,,,,30,,221.0,0.0
993514,2026-02-01,28,0,0.0,0.0,226.4,,,,30,,226.0,0.0
993514,2026-03-01,31,0,0.0,0.0,219.7,,,,30,,220.0,0.0
993514,2026-04-01,30,0,0.0,0.0,240.9,,,,30,,241.0,0.0
993514,2026-05-01,31,0,0.0,0.0,252.5,,,,30,,253.0,0.0
993514,2026-06-01,30,0,0.0,0.0,255.0,,,,30,,255.0,0.0
417685,2025-07-01,0,31,1.0,4682.0,151.0,151.0,104,30,30,151.0,151.0,4682.0
417685,2025-08-01,1,30,0.968,4622.0,154.0,154.1,93,15,30,154.0,154.0,4622.0
417685,2025-09-01,0,30,1.0,4549.0,151.6,151.6,30,15,30,152.0,152.0,4549.0
417685,2025-10-01,12,19,0.613,2996.0,156.4,157.7,144,9,30,158.0,156.0,2996.0
417685,2025-11-01,16,14,0.467,2197.0,158.1,156.9,,,30,157.0,158.0,2197.0
417685,2025-12-01,30,1,0.032,139.0,149.4,139.0,14,1,30,139.0,149.0,139.0
417685,2026-01-01,30,1,0.032,142.0,143.2,142.0,23,1,30,142.0,143.0,142.0
417685,2026-02-01,0,28,1.0,4398.0,157.1,157.1,28,31,30,157.0,157.0,4398.0
417685,2026-03-01,10,21,0.677,3423.0,162.9,163.0,28,24,30,163.0,163.0,3423.0
417685,2026-04-01,0,30,1.0,4570.0,152.3,152.3,,,30,152.0,152.0,4570.0
417685,2026-05-01,22,9,0.29,1451.0,160.8,161.2,54,5,30,161.0,161.0,1451.0
417685,2026-06-01,28,2,0.067,313.0,159.8,156.5,195,30,30,157.0,160.0,313.0
26785,2025-07-01,31,0,0.0,0.0,92.3,,,,30,,92.0,0.0
26785,2025-08-01,5,26,0.839,2341.0,90.2,90.0,50,45,30,90.0,90.0,2341.0
26785,2025-09-01,11,19,0.633,1644.0,86.5,86.5,,,30,87.0,87.0,1644.0
26785,2025-10-01,11,20,0.645,1761.0,87.7,88.0,106,20,30,88.0,88.0,1761.0
26785,2025-11-01,30,0,0.0,0.0,85.1,,,,30,,85.0,0.0
26785,2025-12-01,31,0,0.0,0.0,83.4,,,,30,,83.0,0.0
26785,2026-01-01,31,0,0.0,0.0,77.7,,,,30,,78.0,0.0
26785,2026-02-01,28,0,0.0,0.0,82.1,,,,30,,82.0,0.0
26785,2026-03-01,31,0,0.0,0.0,81.7,,,,30,,82.0,0.0
26785,2026-04-01,30,0,0.0,0.0,84.2,,,,30,,84.0,0.0
26785,2026-05-01,31,0,0.0,0.0,85.2,,,,30,,85.0,0.0
26785,2026-06-01,24,6,0.2,505.0,84.7,84.2,1,6,30,84.0,85.0,505.0
213330,2025-07-01,11,20,0.645,4703.0,233.6,235.2,92,3,5,235.0,234.0,4703.0
213330,2025-08-01,7,24,0.774,5602.0,233.5,233.4,26,8,5,233.0,234.0,5602.0
213330,2025-09-01,6,24,0.8,5779.0,239.9,240.8,121,3,4,241.0,240.0,5779.0
213330,2025-10-01,2,29,0.935,6975.0,239.5,240.5,186,5,4,241.0,240.0,6975.0
213330,2025-11-01,17,13,0.433,3137.0,240.9,241.3,34,4,4,241.0,241.0,3137.0
213330,2025-12-01,7,24,0.774,5651.0,234.9,235.5,195,4,4,236.0,235.0,5651.0
