id,last_scraped,listing_first_review_date,listing_last_review_date,host_id,host_experience_years,listing_name,listing_url,borough,neighborhood,latitude,longitude,room_type,property_type,max_guests,bedrooms,beds,bathrooms,bedrooms_imputed,beds_imputed,bathrooms_imputed,nightly_price,days_available_next_365,min_nights,max_nights,is_monthly_rental(min_nights>28),total_reviews,reviews_last_12mo,reviews_last_30d,reviews_per_month,rating_overall,rating_cleanliness,rating_checkin,rating_communication,rating_location,rating_value,rating_listing_accuracy,is_superhost,host_total_listings,occupancy_rate,estimated_annual_revenue,host_tier,capacity_tier,segment,days_since_last_review,reviews_last_12mo_verified,sentiment_score,has_smoke_alarm,has_wifi,has_carbon_monoxide_alarm,has_hot_water,has_hangers,has_kitchen,has_bed_linens,has_hair_dryer,has_iron,has_essentials,has_dishes_and_silverware,has_microwave,has_refrigerator,has_cooking_basics,has_dedicated_workspace,has_air_conditioning,has_shampoo,has_heating,has_self_check_in,has_fire_extinguisher,occupancy_Jan,occupancy_Feb,occupancy_Mar,occupancy_Apr,occupancy_May,occupancy_Jun,occupancy_Jul,occupancy_Aug,occupancy_Sep,occupancy_Oct,occupancy_Nov,occupancy_Dec,occupancy_rate_calendar
2539,6/15/26,12/4/15,5/28/26,2787,15,11 Min to Manhattan • Prospect Park • Fast WiFi,https://www.airbnb.com/rooms/2539,Brooklyn,Kensington,40.64593716028213,-73.97216374,Private room,Private room in condo,2,1,2,1,0,0,0,113.97,339,30,730,1,10,1,1,0.08,4.8,4.9,4.89,5,4.78,4.78,4.67,f,5,60,6838,Small-Multi,small,Brooklyn | Private room | small,17,1,4.8,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0.5333,0.3226,0,0,0,0,0,0.0712
6848,6/14/26,5/25/09,4/23/26,15991,15,Only 2 stops to Manhattan studio,https://www.airbnb.com/rooms/6848,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,Entire rental unit,3,2,1,1,0,0,0,117.27,191,30,240,1,198,3,0,0.95,4.6,4.85,4.85,4.8,4.69,4.59,4.6,t,1,180,21109,Individual,medium,Brooklyn | Entire home/apt | medium,52,3,4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.5333,1,0.5484,1,1,1,0.6129,0.4767
6872,6/14/26,6/5/22,10/7/25,16104,15,Uptown Sanctuary w/ Private Bath (Month to Month),https://www.airbnb.com/rooms/6872,Manhattan,East Harlem,40.80107,-73.94255,Private room,Private room in condo,1,1,1,1,1,0,0,80.06,286,30,180,1,2,1,0,0.04,5,5,5,5,5,5,5,f,2,60,4804,Small-Multi,small,Manhattan | Private room | small,250,1,5,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5667,1,1,0,0,0,0,0.2164
6990,6/14/26,10/28/09,1/11/26,16800,15,UES Beautiful Blue Room,https://www.airbnb.com/rooms/6990,Manhattan,East Harlem,40.78778,-73.94759,Private room,Private room in rental unit,1,1,1,1,1,0,0,77.17,218,30,120,1,251,2,0,1.24,4.88,4.95,4.96,4.94,4.85,4.84,4.83,t,1,120,9260,Individual,small,Manhattan | Private room | small,154,2,4.2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.5667,0.4516,0.6452,1,1,1,0.1613,0.4027
7097,6/14/26,1/16/10,9/23/25,17571,15,"Perfect for Your Parents, With Garden & Patio",https://www.airbnb.com/rooms/7097,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,Private room in guest suite,2,1,2,1,1,0,0,202.47,106,30,1125,1,423,10,0,2.12,4.89,4.89,4.97,4.93,4.95,4.82,4.91,t,2,255,51630,Small-Multi,small,Brooklyn | Private room | small,264,10,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9643,0,0,0,0.5667,1,1,1,1,1,1,0.7096
7801,6/14/26,8/9/09,3/29/26,21207,15,Sunny Williamsburg Loft with Private Cedar Sauna,https://www.airbnb.com/rooms/7801,Brooklyn,Williamsburg,40.718807220458984,-73.95617676,Entire home/apt,Entire place,2,1,1,1,1,0,0,365.97,68,30,120,1,13,1,0,0.06,4.92,4.7,4.9,4.8,5,4.9,4.8,t,1,60,21958,Individual,small,Brooklyn | Entire home/apt | small,77,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.0323,0.0357,1,1,1,1,1,0.6452,1,1,1,1,0.8137
266449,6/14/26,3/24/12,3/28/26,1397115,14,2 Bedroom Gem - Prime LES Location,https://www.airbnb.com/rooms/266449,Manhattan,Lower East Side,40.719482,-73.98877,Entire home/apt,Entire rental unit,4,2,2,1,0,0,0,159.77,230,30,360,1,88,5,0,0.51,4.64,4.26,4.89,4.92,4.92,4.6,4.74,t,1,255,40741,Individual,medium,Manhattan | Entire home/apt | medium,78,5,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.5667,1,0.3871,0.8,1,0.6667,0,0.3699
267376,6/14/26,8/7/13,5/20/26,638721,15,Room in a New York loft,https://www.airbnb.com/rooms/267376,Manhattan,Financial District,40.70867,-74.00303,Private room,Private room in loft,1,1,1,1,0,0,0,87.77,145,30,360,1,17,3,1,0.11,4.94,4.88,4.94,5,4.94,4.82,4.94,f,1,180,15799,Individual,small,Manhattan | Private room | small,25,3,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.2581,0,0,0,0,0.6027
267652,6/22/26,8/24/15,5/27/26,164675,15,Private clean spacious room - Across from subway,https://www.airbnb.com/rooms/267652,Brooklyn,Flatbush,40.6447193,-73.966453,Private room,Private room in rental unit,1,1,1,1,1,1,0,72,79,30,1125,1,66,4,1,0.5,4.97,4.95,5,4.97,4.91,4.95,5,t,1,240,17280,Individual,small,Brooklyn | Private room | small,18,4,4.8,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.4194,1,1,1,1,0.9355,1,1,1,1,0.7836
115748,6/15/26,9/20/11,12/1/25,585166,15,1 BDRM Apt-Weekends and short stays available,https://www.airbnb.com/rooms/115748,Queens,Astoria,40.76406,-73.92266,Entire home/apt,Entire rental unit,2,1,1,1,0,0,0,118.07,88,30,30,1,43,2,0,0.24,4.65,4.5,4.9,4.9,4.85,4.61,4.71,f,1,120,14168,Individual,small,Queens | Entire home/apt | small,195,2,4.4,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0.5333,0,0,0.6,1,1,1,0.7589
116551,6/14/26,5/29/11,6/13/26,497672,15,Beautiful Harlem Studio Apartment - private access,https://www.airbnb.com/rooms/116551,Manhattan,Harlem,40.80384,-73.95123,Entire home/apt,Entire rental unit,2,1,2,1,1,0,0,114.33,147,30,730,1,188,4,1,1.03,4.53,4.43,4.8,4.66,4.35,4.56,4.67,t,1,240,27439,Individual,small,Manhattan | Entire home/apt | small,1,4,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0.5667,1,1,1,0.3871,0.2333,1,0.5973
